"taxon","taxon.id","P25","WS64","WhitmoreFull","WhitmoreSmall","type","cf"
"Alnus viridis",353,"Alnus","AlnusXC","ALNUSX","ALNUSX","NA","NA"
"Amelanchier-type",354,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Rosaceae undiff.",355,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Betulaceae undiff.",357,"NA","NA","NA","NA","NA","NA"
"Celastrus",359,"NA","NA","NA","NA","NA","NA"
"Cornus",361,"NA","NA","CORNUS","CORNUS","NA","NA"
"Juniperus-type",363,"Cupressaceae/Taxaceae","Cupressaceae","CUPRESSA","CUPRESSA","NA","NA"
"Juniperus/Thuja",364,"Cupressaceae/Taxaceae","Cupressaceae","CUPRESSA","CUPRESSA","NA","NA"
"Elaeagnus/Shepherdia argentea",365,"NA","NA","ELAEAGNX","ELAEAGNX","NA","NA"
"Ephedra",366,"NA","Ephedra","EPHEDRA","EPHEDRA","NA","NA"
"Ephedra torreyana-type",367,"NA","Ephedra","EPHEDRA","EPHEDRA","NA","NA"
"Ephedra nevadensis-type",368,"NA","Ephedra","EPHEDRA","EPHEDRA","NA","NA"
"Fraxinus",369,"Fraxinus","Total Fraxinus (sum of nigra/penn/undiff)","FRAXINUX","FRAXINUX","NA","NA"
"Fraxinus quadrangulata-type",370,"Fraxinus","Total Fraxinus (sum of nigra/penn/undiff)","FRAXINUX","FRAXINUX","NA","NA"
"Fraxinus americana-type",371,"Fraxinus","Total Fraxinus (sum of nigra/penn/undiff)","FRAXPNAM","FRAXINUX","NA","NA"
"Juglans",372,"Juglans","Juglans","JUGLANSX","JUGLANSX","NA","NA"
"Larix/Pseudotsuga",373,"Larix","Larix/Pseudotsuga","LARIXPSEU","LARIXPSEU","NA","NA"
"Pinaceae (vesiculate) undiff.",374,"NA","NA","NA","NA","NA","NA"
"Phoradendron",375,"NA","NA","NA","NA","NA","NA"
"Maclura pomifera",376,"NA","NA","URTICACX","URTICACX","NA","NA"
"Maclura-type",377,"NA","NA","URTICACX","URTICACX","NA","NA"
"Iva annua",378,"Prairie Forbs","Asteraceae","IVA","IVA","NA","NA"
"Myrica-type",379,"NA","Myricaceae","MYRICACX","MYRICACX","NA","NA"
"Myrtaceae undiff.",380,"NA","NA","NA","NA","NA","NA"
"Myricaceae",381,"NA","Myricaceae","MYRICACX","MYRICACX","NA","NA"
"Myrica/Comptonia peregrina",382,"NA","Myricaceae","MYRICACX","MYRICACX","NA","NA"
"Myrica",383,"NA","Myricaceae","MYRICACX","MYRICACX","NA","NA"
"Ostrya-type",384,"NA","NA","NA","NA","TRUE","NA"
"Pinus",385,"Pinus","Pinus undifferentiated","PINUSX","PINUSX","NA","NA"
"Pinus edulis-type",386,"Pinus","Pinus haploxylon","PINUSX","PINUSX","NA","NA"
"Piperaceae-type",387,"NA","NA","NA","NA","NA","NA"
"Pistacia",388,"NA","NA","NA","NA","NA","NA"
"Populus",389,"Populus","Populus","POPULUS","POPULUS","NA","NA"
"Rutaceae",390,"NA","NA","NA","NA","NA","NA"
"Amaranthaceae",391,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Styloceras",392,"NA","NA","NA","NA","NA","NA"
"Symphoricarpos-type",393,"NA","NA","CAPRIFOLIA","CAPRIFOLIA","NA","NA"
"Caprifoliaceae",394,"NA","NA","CAPRIFOLIA","CAPRIFOLIA","NA","NA"
"Taxodium-type",395,"Cupressaceae/Taxaceae","NA","NA","NA","TRUE","NA"
"Viburnum lentago",396,"NA","NA","NA","NA","NA","NA"
"Viburnum",397,"NA","NA","NA","NA","NA","NA"
"Viburnum rafinesquianum-type",398,"NA","NA","NA","NA","NA","NA"
"Zanthoxylum-type",400,"NA","NA","NA","NA","NA","NA"
"Amaranthus retroflexus-type",401,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Amorpha",402,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Anemone canadensis-type",403,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Ranunculaceae (tricolpate)",404,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Ranunculaceae (pericolpate)",405,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Anemone quinquefolia-type",406,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Ranunculus flabellaris-type",407,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Asteraceae",409,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Asteraceae tribe Cynareae",413,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Avena-type",414,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Avena/Triticum",415,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Cerealia",416,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Poaceae",417,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Asteraceae subf. Asteroideae",418,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Brassica",419,"NA","Brassicaceae","BRASSICACEAE","BRASSICACEAE","NA","NA"
"Brassicaceae",420,"NA","Brassicaceae","BRASSICACEAE","BRASSICACEAE","NA","NA"
"Campanula aparinoides-type",421,"NA","NA","CAMPANULACEA","CAMPANULACEA","NA","NA"
"Campanula rotundifolia-type",422,"NA","NA","CAMPANULACEA","CAMPANULACEA","NA","NA"
"Cannabis sativa-type",424,"NA","NA","URTICACX","URTICACX","NA","NA"
"Humulus",425,"NA","NA","URTICACX","URTICACX","NA","NA"
"Cannabis sativa",426,"NA","NA","URTICACX","URTICACX","NA","NA"
"Cerealia undiff.",427,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Rhexia-type",428,"NA","NA","NA","NA","NA","NA"
"Cyperaceae undiff.",430,"Cyperaceae","Cyperaceae","CYPERACE","CYPERACE","NA","NA"
"Dalea",431,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Dalea candida",432,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Dalea purpurea",433,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Dodecatheon",443,"NA","NA","DODECATH","DODECATH","NA","NA"
"Dryas",444,"NA","Dryas","DRYAS","DRYAS","NA","NA"
"Onagraceae",445,"NA","NA","ONAGRACEAE","ONAGRACEAE","NA","NA"
"Gaura",446,"NA","NA","ONAGRACEAE","ONAGRACEAE","NA","NA"
"Gentiana andrewsii-type",447,"NA","NA","NA","NA","NA","NA"
"Gentiana",448,"NA","NA","NA","NA","NA","NA"
"Gomphrena",449,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Gentiana andrewsii",450,"NA","NA","NA","NA","NA","NA"
"Hedysarum",451,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Heliotropium",452,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Hedyotis",453,"NA","NA","RUBIACEAE","RUBIACEAE","NA","NA"
"Hypoxis",454,"NA","NA","NA","NA","NA","NA"
"Iva frutescens-type",456,"Prairie Forbs","Asteraceae","IVA","IVA","NA","NA"
"Iva xanthifolia",457,"Prairie Forbs","Asteraceae","IVA","IVA","NA","NA"
"Kochia-type",458,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Kochia",459,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Lamiaceae",460,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Cystopteris bulbifera",463,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Urticaceae",464,"NA","NA","URTICACX","URTICACX","NA","NA"
"Laportea",465,"NA","NA","URTICACX","URTICACX","NA","NA"
"Lilium philadelphicum-type",466,"NA","NA","LILIACEAE","LILIACEAE","NA","NA"
"Lysimachia quadriflora-type",467,"NA","NA","NA","NA","NA","NA"
"Lysimachia thyrsiflora",468,"NA","NA","NA","NA","NA","NA"
"Medicago",469,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Oenothera",470,"NA","NA","ONAGRACEAE","ONAGRACEAE","NA","NA"
"Onosmodium",471,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Opuntia",472,"NA","Cactaceae","CACTACEAE","CACTACEAE","NA","NA"
"Orchidaceae",473,"NA","NA","NA","NA","NA","NA"
"Other upland herbs",474,"NA","NA","NA","NA","NA","NA"
"Parietaria",475,"NA","NA","URTICACX","URTICACX","NA","NA"
"Pedicularis",476,"NA","NA","PEDICULARI","SCROPHUL","NA","NA"
"Phlox",477,"NA","NA","POLEMONI","POLEMONI","NA","NA"
"Pilea-type",478,"NA","NA","URTICACX","URTICACX","NA","NA"
"Pilea",479,"NA","NA","URTICACX","URTICACX","NA","NA"
"Plantago",480,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Polygonella",481,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Polygonum tenue-type",482,"NA","NA","POLYGONMX","POLYGONAX","NA","NA"
"Rosaceae",483,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Primula",484,"NA","NA","NA","NA","NA","NA"
"Rhynchospora-type",486,"Cyperaceae","Cyperaceae","CYPERACE","CYPERACE","NA","NA"
"Saxifraga",487,"NA","NA","NA","NA","NA","NA"
"Secale-type",488,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Solanum rostratum",489,"NA","NA","NA","NA","NA","NA"
"Sphaeralcea",490,"NA","Minor Forbs","MALVACEAE","MALVACEAE","NA","NA"
"Stachys-type",491,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Suaeda-type",492,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Tidestromia-type",493,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Tidestromia",494,"NA","Chenopodiaceae/Amaranthaceae","CHENOAMX","CHENOAMX","NA","NA"
"Trifolium pratense",495,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Trifolium repens-type",496,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Triticum-type",497,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Urtica",498,"NA","NA","URTICACX","URTICACX","NA","NA"
"Urticales undiff.",499,"NA","NA","URTICACX","URTICACX","NA","NA"
"Verbena",500,"NA","NA","NA","NA","NA","NA"
"Zigadenus",501,"NA","NA","NA","NA","NA","NA"
"Cheilanthes",502,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Gymnocarpium",504,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Lycopodium-type",505,"NA","NA","NA","NA","TRUE","NA"
"Matteuccia/Onoclea sensibilis",506,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Onoclea sensibilis",507,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Ophioglossum",508,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Osmunda",509,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Selaginella densa-type",510,"NA","NA","SELAGINE","SELAGINE","NA","NA"
"Selaginella rupestris-type",511,"NA","NA","SELAGINE","SELAGINE","NA","NA"
"Thelypteris palustris-type",512,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Alisma",513,"NA","NA","NA","NA","NA","NA"
"Hydrocotyle",514,"NA","Minor Forbs","NA","NA","NA","NA"
"Lemna",515,"NA","NA","NA","NA","NA","NA"
"Stuckenia",516,"NA","NA","NA","NA","NA","NA"
"Potamogeton",517,"NA","NA","NA","NA","NA","NA"
"Ruppia maritima",518,"NA","NA","NA","NA","NA","NA"
"Cingutriletes",520,"NA","NA","NA","NA","NA","NA"
"Engelhardtia-type",522,"NA","NA","NA","NA","NA","NA"
"Striatriletes",523,"NA","NA","NA","NA","NA","NA"
"Scrophulariaceae-type",525,"NA","NA","SCROPHUL","SCROPHUL","NA","NA"
"Gilia-type",526,"NA","NA","POLEMONI","POLEMONI","NA","NA"
"Valeriana-type",527,"NA","NA","NA","NA","NA","NA"
"Polygonum californicum-type",528,"NA","NA","POLYGONMX","POLYGONAX","NA","NA"
"Tsuga mertensiana",529,"Tsuga","Tsuga mertensiana","TSUGMERT","TSUGMERT","NA","NA"
"Tsuga heterophylla",530,"Tsuga","Tsuga heterophylla","TSUGHETE","TSUGHETE","NA","NA"
"Carbonates",531,"NA","NA","NA","NA","NA","NA"
"Organic matter",532,"NA","NA","NA","NA","NA","NA"
"Pinaceae (vesiculate)",533,"NA","NA","NA","NA","NA","NA"
"Cupressaceae undiff.",534,"Cupressaceae/Taxaceae","Cupressaceae","CUPRESSA","CUPRESSA","NA","NA"
"Fungi",535,"NA","NA","NA","NA","NA","NA"
"Rumex/Oxyria digyna",536,"NA","NA","RUMEOXYR","RUMEOXYR","NA","NA"
"Zea",538,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Lysimachia",539,"NA","NA","NA","NA","NA","NA"
"Polygonum",540,"NA","NA","POLYGONMX","POLYGONAX","NA","NA"
"Prunus/Sorbus",541,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Shepherdia",542,"NA","NA","SHEPHERDIA","SHEPHERDIA","NA","NA"
"Solanaceae",543,"NA","NA","NA","NA","NA","NA"
"Unknown (Cretaceous)",544,"NA","NA","NA","NA","NA","NA"
"Stellaria",545,"NA","Caryophyllaceae","CARYOPHYLL","CARYOPHYLL","NA","NA"
"Malva",546,"NA","Minor Forbs","MALVACEAE","MALVACEAE","NA","NA"
"Unknown (alete) undiff.",547,"NA","NA","NA","NA","NA","NA"
"Botrychium simplex",548,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Ranunculus",549,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Abies balsamea",550,"Abies","Abies","ABIES","ABIES","NA","NA"
"Cornus sericea-type",551,"NA","NA","CORNUS","CORNUS","NA","NA"
"Acer cf. A. pensylvanicum",552,"Acer","Acer","ACERX","ACERX","NA","TRUE"
"Acer nigrum",553,"Acer","Acer","ACERX","ACERX","NA","NA"
"Acer saccharinum",554,"Acer","Acer","ACSACNUM","ACERX","TRUE","NA"
"Acer saccharum",555,"Acer","Acer","ACSACRUM","ACERX","TRUE","NA"
"Acorus calamus",556,"NA","NA","NA","NA","NA","NA"
"Allium-type",557,"NA","NA","LILIACEAE","LILIACEAE","NA","NA"
"Amelanchier",558,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Amphitrema",559,"NA","NA","NA","NA","NA","NA"
"Amphitrema flavum",560,"NA","NA","NA","NA","NA","NA"
"Amphitrema wrightianum",561,"NA","NA","NA","NA","NA","NA"
"Andromeda",562,"NA","Ericaceae","ERIVACCI","ERICACEX","NA","NA"
"Andromeda polifolia var. latifolia",563,"NA","Ericaceae","ERIVACCI","ERICACEX","NA","NA"
"Andromeda polifolia",564,"NA","Ericaceae","ERIVACCI","ERICACEX","NA","NA"
"Aralia hispida",565,"NA","NA","NA","NA","NA","NA"
"Arcella artocrea",566,"NA","NA","NA","NA","NA","NA"
"Arceuthobium pusillum",567,"NA","Arceuthobium","ARCEUTHOBI","ARCEUTHOBI","NA","NA"
"Arctostaphylos uva-ursi",568,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Armeria maritima",569,"NA","NA","ARMERIA","ARMERIA","NA","NA"
"Assulina",570,"NA","NA","NA","NA","NA","NA"
"Assulina muscorum",571,"NA","NA","NA","NA","NA","NA"
"Assulina seminulum",572,"NA","NA","NA","NA","NA","NA"
"Athyrium filix-femina",573,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Betula (shrub)",574,"Betula","Betula","BETULA","BETULA","NA","NA"
"Betula alleghaniensis",575,"Betula","Betula","BETULA","BETULA","NA","NA"
"Betula papyrifera",576,"Betula","Betula","BETULA","BETULA","NA","NA"
"Bitectatodinium tepikiense",577,"NA","NA","NA","NA","NA","NA"
"cf. Boconnia",578,"NA","NA","NA","NA","NA","NA"
"Cornus sericea",579,"NA","NA","CORNUS","CORNUS","NA","NA"
"Brigantedinium",580,"NA","NA","NA","NA","NA","NA"
"Brigantedinium simplex",581,"NA","NA","NA","NA","NA","NA"
"Butomus umbellatus",582,"NA","NA","NA","NA","NA","NA"
"Calla palustris",583,"NA","NA","NA","NA","NA","NA"
"cf. Callitriche",584,"NA","NA","NA","NA","NA","NA"
"Caltha-type",585,"NA","NA","RANUNCUL","RANUNCUL","NA","NA"
"Campanula-type",586,"NA","NA","CAMPANULACEA","CAMPANULACEA","NA","NA"
"Carya cordiformis",587,"Carya","Carya","JUGLANSX","JUGLANSX","NA","NA"
"Carya ovata",588,"Carya","Carya","JUGLANSX","JUGLANSX","NA","NA"
"Cassiope tetragona-type",589,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Castanea dentata",590,"NA","Castanea","CASTANEA","CASTANEA","NA","NA"
"Celtis occidentalis",591,"NA","Celtis","URTICACX","URTICACX","NA","NA"
"Centaurea",592,"Prairie Forbs","Asteraceae","ASTERX","ASTERX","NA","NA"
"Cephalanthus occidentalis",593,"NA","Cephalanthus","RUBIACEAE","RUBIACEAE","NA","NA"
"Chamaecyparis-type",594,"Cupressaceae/Taxaceae","Cupressaceae","CUPRESSA","CUPRESSA","NA","NA"
"Chamaecyparis thyoides",595,"Cupressaceae/Taxaceae","Cupressaceae","CUPRESSA","CUPRESSA","NA","NA"
"Comptonia peregrina",597,"NA","Myricaceae","MYRICACX","MYRICACX","NA","NA"
"Lonicera caerulea",598,"NA","NA","CAPRIFOLIA","CAPRIFOLIA","NA","NA"
"Cornus alternifolia",599,"NA","NA","CORNUS","CORNUS","NA","NA"
"Cornus canadensis",600,"NA","NA","CORNUS","CORNUS","NA","NA"
"Cornus rugosa",601,"NA","NA","CORNUS","CORNUS","NA","NA"
"Corylus cornuta",603,"Corylus","Corylus","CORYLUS","CORYLUS","NA","NA"
"Cystopteris",604,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Cystopteris fragilis",605,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"cf. Diapensia lapponica",606,"NA","NA","NA","NA","NA","NA"
"Diervilla lonicera",607,"NA","NA","NA","NA","NA","NA"
"Difflugia",608,"NA","NA","NA","NA","NA","NA"
"Difflugia oviformis",609,"NA","NA","NA","NA","NA","NA"
"Diflugia pyriformis",610,"NA","NA","NA","NA","NA","NA"
"Drosera rotundifolia-type",612,"NA","NA","NA","NA","NA","NA"
"Dryopteris",613,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Elaeagnus commutata",615,"NA","NA","ELAEAGNX","ELAEAGNX","NA","NA"
"Elymus-type",616,"Poaceae","Poaceae","POACEAE","POACEAE","NA","NA"
"Epilobium angustifolium-type",617,"NA","NA","ONAGRACEAE","ONAGRACEAE","NA","NA"
"Epilobium glandulosum-type",618,"NA","NA","ONAGRACEAE","ONAGRACEAE","NA","NA"
"Euglypha",619,"NA","NA","NA","NA","NA","NA"
"Foraminifera",620,"NA","NA","NA","NA","NA","NA"
"Gaultheria hispidula",621,"NA","Ericaceae","ERIVACCI","ERICACEX","NA","NA"
"Gaylussacia baccata",622,"NA","Ericaceae","ERIVACCI","ERICACEX","NA","NA"
"Glaux maritima",623,"NA","NA","NA","NA","NA","NA"
"Hyalosphenia elegans",625,"NA","NA","NA","NA","NA","NA"
"Hyalosphenia papilio",626,"NA","NA","NA","NA","NA","NA"
"Impagidinium",627,"NA","NA","NA","NA","NA","NA"
"Dinoflagellata undiff.",628,"NA","NA","NA","NA","NA","NA"
"Cupressaceae cf. Juniperus communis",629,"Cupressaceae/Taxaceae","Cupressaceae","CUPRESSA","CUPRESSA","NA","NA"
"Juniperus horizontalis/J. virginiana-type",630,"Cupressaceae/Taxaceae","Cupressaceae","CUPRESSA","CUPRESSA","NA","NA"
"Tectatodinium pellitum",631,"NA","NA","NA","NA","NA","NA"
"Lingulodinium machaerophorum",634,"NA","NA","NA","NA","NA","NA"
"Linnaea borealis",635,"NA","NA","NA","NA","NA","NA"
"Linum",636,"NA","NA","NA","NA","NA","NA"
"Littorella uniflora",637,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Lobelia-type",638,"NA","NA","NA","NA","NA","NA"
"Kalmia procumbens",639,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Lonicera canadensis",640,"NA","NA","CAPRIFOLIA","CAPRIFOLIA","NA","NA"
"Lonicera involucrata",641,"NA","NA","CAPRIFOLIA","CAPRIFOLIA","NA","NA"
"Lonicera canadensis-type",642,"NA","NA","CAPRIFOLIA","CAPRIFOLIA","NA","NA"
"Ludwigia",644,"NA","NA","ONAGRACEAE","ONAGRACEAE","NA","NA"
"Huperzia lucidula-type",645,"NA","NA","NA","NA","NA","NA"
"Pinguicula cf. P. villosa",646,"NA","NA","NA","NA","NA","NA"
"cf. Hypericum",647,"NA","NA","NA","NA","NA","NA"
"Diphasiastrum complanatum",648,"NA","NA","LYCOPODX","LYCOPODX","NA","NA"
"Diphasiastrum alpinum-type",649,"NA","NA","LYCOPODX","LYCOPODX","NA","NA"
"Lycopodium annotinum-type",650,"NA","NA","LYCOPODX","LYCOPODX","TRUE","NA"
"Lycopodium obscurum-type",651,"NA","NA","LYCOPODX","LYCOPODX","TRUE","NA"
"Diphasiastrum tristachyum-type",652,"NA","NA","LYCOPODX","LYCOPODX","NA","NA"
"Huperzia selago-type",653,"NA","NA","NA","NA","NA","NA"
"Lycopus",654,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Lythrum salicaria",655,"NA","NA","NA","NA","NA","NA"
"Mentha-type",656,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"cf. Mnium",658,"NA","NA","NA","NA","NA","NA"
"Bryopsida",659,"NA","NA","NA","NA","NA","NA"
"Moneses uniflora",660,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Monotropa",661,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Morus rubra-type",662,"NA","NA","URTICACX","URTICACX","NA","NA"
"Multispinula minuta",663,"NA","NA","NA","NA","NA","NA"
"Selenopemphix quanta",664,"NA","NA","NA","NA","NA","NA"
"Myosotis-type",665,"NA","NA","BORAGINACEAE","BORAGINACEAE","NA","NA"
"Myrica gale",666,"NA","Myricaceae","MYRICACX","MYRICACX","NA","NA"
"Myriophyllum alterniflorum",667,"NA","NA","NA","NA","NA","NA"
"Myriophyllum sibiricum-type",668,"NA","NA","NA","NA","NA","NA"
"Najas",669,"NA","NA","NA","NA","NA","NA"
"Nematosphaeropsis labyrinthus",670,"NA","NA","NA","NA","NA","NA"
"Nemopanthus mucronatus",671,"NA","NA","NA","NA","NA","NA"
"Ilex/Nemopanthus",672,"NA","NA","NA","NA","NA","NA"
"Nymphaeaceae",673,"NA","NA","NA","NA","NA","NA"
"Oleaceae undiff.",674,"NA","NA","NA","NA","NA","NA"
"Operculodinium centrocarpum",675,"NA","NA","NA","NA","NA","NA"
"Polypodiophyta",676,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Pteridophyta",677,"NA","NA","NA","NA","NA","NA"
"Osmunda cinnamomea",678,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Osmunda claytoniana",679,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Osmunda regalis-type",680,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"cf. Oxyria digyna",681,"NA","NA","RUMEOXYR","RUMEOXYR","NA","TRUE"
"Oxyria digyna-type",682,"NA","NA","RUMEOXYR","RUMEOXYR","TRUE","NA"
"Oxytropis maydelliana-type",683,"NA","NA","FABACEAE","FABACEAE","NA","NA"
"Papaveraceae",684,"NA","Papaveraceae","RANUNCUL","RANUNCUL","NA","NA"
"Pediastrum angulosum",685,"NA","NA","NA","NA","NA","NA"
"Pediastrum boryanum",686,"NA","NA","NA","NA","NA","NA"
"Pediastrum boryanum var. integrum",687,"NA","NA","NA","NA","NA","NA"
"Pediastrum boryanum var. longicorne",688,"NA","NA","NA","NA","NA","NA"
"Pediastrum braunii",689,"NA","NA","NA","NA","NA","NA"
"Pediastrum duplex",690,"NA","NA","NA","NA","NA","NA"
"Pediastrum kawraiskyi",691,"NA","NA","NA","NA","NA","NA"
"Pediastrum simplex",692,"NA","NA","NA","NA","NA","NA"
"Pediastrum tetras",693,"NA","NA","NA","NA","NA","NA"
"Euphorbiaceae",694,"NA","Minor Forbs","EUPHORB","EUPHORB","NA","NA"
"Pinus banksiana-type",695,"Pinus","Pinus diploxylon","PINUSX","PINUSX","NA","NA"
"Pinus resinosa-type",696,"Pinus","Pinus diploxylon","PINUSX","PINUSX","NA","NA"
"Pinus strobus",697,"Pinus","Pinus haploxylon","PINUSX","PINUSX","NA","NA"
"Plantaginaceae",698,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Plantago lanceolata-type",699,"NA","Plantaginaceae","PLANTAGINX","PLANTAGINX","NA","NA"
"Platanus occidentalis",700,"Platanus","Platanus","PLATANUS","PLATANUS","NA","NA"
"Platanus/Callitriche",701,"NA","NA","NA","NA","NA","NA"
"Polygonaceae",702,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Bistorta officinalis-type",703,"NA","NA","POLYGONAX","POLYGONAX","NA","NA"
"Bistorta vivipara",705,"NA","NA","POLYGVIV","POLYGONAX","NA","NA"
"Polykrikos schartzii",706,"NA","NA","NA","NA","NA","NA"
"Polypodium virginianum",707,"NA","NA","POLYPOD","POLYPOD","NA","NA"
"Polysphaeridium zoharyi",708,"NA","NA","NA","NA","NA","NA"
"Populus deltoides-type",709,"Populus","Populus","POPULUS","POPULUS","NA","NA"
"Populus grandidentata-type",710,"Populus","Populus","POPULUS","POPULUS","NA","NA"
"Potamogetonaceae/Triglochin",711,"NA","NA","NA","NA","NA","NA"
"Potentilla palustris-type",712,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Protoperidinium",713,"NA","NA","NA","NA","NA","NA"
"Prunella-type",714,"NA","NA","LAMIACEAE","LAMIACEAE","NA","NA"
"Prunus",715,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Prunus pensylvanica",716,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Prunus serotina",717,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Rosaceae cf. Prunus serotina",718,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Prunus virginiana",719,"NA","Rosaceae","ROSACEAX","ROSACEAX","NA","NA"
"Pteridium aquilinum",720,"NA","Pteridium","PTERIDIUM","PTERIDIUM","NA","NA"
"Pyrola",721,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Ericaceae-type",722,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Rhamnus alnifolia/Frangula alnus",723,"NA","NA","RHAMNACEAE","RHAMNACEAE","NA","NA"
"Rhamnus/Vitis",724,"NA","NA","RHAMNACEAE","RHAMNACEAE","NA","NA"
"Rhamnus cathartica",725,"NA","NA","RHAMNACEAE","RHAMNACEAE","NA","NA"
"Rhamnaceae/Vitaceae",726,"NA","NA","RHAMNACEAE","RHAMNACEAE","NA","NA"
"Rhododendron canadense",727,"NA","Ericaceae","ERICACEX","ERICACEX","NA","NA"
"Toxicodendron radicans",728,"NA","NA","NA","NA","NA","NA"
"Rhus/Toxicodendron",729,"NA","NA","NA","NA","NA","NA"
"Rhus typhina",730,"NA","NA","NA","NA","NA","NA"
"Toxicodendron",731,"NA","NA","NA","NA","NA","NA"
